state,population
AK,733406
AL,5074296
AR,3045637
AZ,7378494
CA,39029342
CO,5914380
CT,3626205
DC,671803
DE,1018396
FL,22244823
GA,10912819
HI,1440192
IA,3200517
ID,1999216
IL,12582032
IN,6886717
KS,2937150
KY,4509394
LA,4577383
MA,6981974
MD,6181632
ME,1370934
MI,10034113
MN,5739910
MO,6177957
MS,2940057
MT,1122867
NC,10698973
ND,783926
NE,1967923
NH,1388992
NJ,9261690
NM,2113344
NV,3196202
NY,19592852
OH,11755925
OK,4037781
OR,4233358
PA,12757593
RI,1093734
SC,5328210
SD,919318
TN,7076045
TX,30494716
UT,3424933
VA,8715692
VT,647464
WA,7827763
WI,5892531
WV,1782959
WY,581381
